16,5,26.0,8.0,26,13.0,True,100,0.10304795315232695,-61.95256568403627,-61.95256568403627,335.18816614151
16,5,26.0,8.0,26,13.0,True,100,0.10181803484647389,-61.95262766944753,-6.198541125712609e-05,373.5521242618561
16,5,26.0,8.0,26,13.0,True,200,0.0430586270817912,-61.961887539937834,-0.009259870490303967,711.1429698467255
16,5,26.0,8.0,26,13.0,True,200,0.0416982544657003,-61.96207147880683,-0.0001839388689930388,844.3152937889099
16,5,26.0,8.0,26,13.0,True,400,0.03290738858140685,-61.96325351957734,-0.0011820407705158686,1321.3795654773712
16,5,26.0,8.0,26,13.0,True,400,0.020244588424247922,-61.96498635532965,-0.0017328357523069826,2062.855579853058
16,5,26.0,8.0,26,13.0,True,400,0.014093061736730306,-61.96586195833142,-0.0008756030017735839,3098.7374091148376
16,5,26.0,8.0,26,13.0,True,800,0.005848008428529283,-61.96686953560516,-0.0010075772737394573,6328.349590778351
16,5,26.0,8.0,26,13.0,True,800,0.001484884549427079,-61.96737186244936,-0.0005023268441988193,10512.764022827148
16,5,26.0,8.0,26,13.0,True,800,0.000493269822527509,-61.96748507818623,-0.00011321573686728925,12571.80477309227
16,5,26.0,8.0,26,13.0,True,800,0.00040033784534898587,-61.96749454714177,-9.468955539659873e-06,16945.77314734459
16,5,26.0,8.0,26,13.0,True,1600,6.28498241894717e-05,-61.96752723131436,-3.268417258794898e-05,23521.272198200226
16,5,26.0,8.0,26,13.0,True,1600,2.6044775950140428e-05,-61.96753067487447,-3.4435601108384617e-06,33189.533204078674
16,5,26.0,8.0,26,13.0,True,1600,1.5552091554127465e-05,-61.9675316334633,-9.585888349761262e-07,35365.79116773605
